Actor,Film,Year,Genre,IMDB
Shahrukh khan,Pathan,2023,Action,7.2
Salman Khan,Tiger Zinda,2017,Action,6
Amir Khan,Dangal,2016,Biography,8.4
Ranbir Kapor,Brahmastr,2022,Fantasy,5.6
Ranveer Singh,Padmaavai,2018,Historical,7
Ayushmann Khuranna,Andhadhun,2018,Thirller,8.3
Rajkumar Rao,Stree,2018,Horor Core,7.5
Hirtik Roshan,War,2019,Action,6.5
Akshay Kumar,Good News,2019,Comedy,7
Kartik Aryan,Bhool Bhulaiya,2022,Horor Core,5.9
Varun Dhawan,Badrinath,2017,Romantic Core,6.1
Vicky Kaushal,URI,2019,Action,8.2
